0,1,2,3
9687288.799999999,4150416.9099999997,3973869.8899999997,2141661.4
3422235.5200000014,2325140.48,2297688.2600000002,1945757.87
1330627173.06,596061611.0100002,525573785.81,11605577.910000002
6265053.280000002,1825276.4300000004,1676181.6299999994,195903.5299999999
14771.16,152.28,152.28,152.28
