node,role
5351,role_0
5355,role_0
5358,role_0
5364,role_0
5370,role_0
5375,role_0
5390,role_0
5416,role_0
5425,role_1
5428,role_0
5440,role_0
5441,role_0
5467,role_0
5469,role_0
5487,role_0
5510,role_0
5518,role_0
5527,role_0
5531,role_0
5541,role_0
5560,role_0
5563,role_0
5596,role_1
5603,role_0
5605,role_0
5627,role_0
5634,role_0
5644,role_0
5648,role_0
5649,role_0
5653,role_0
5655,role_0
5656,role_0
5673,role_0
5700,role_0
5701,role_0
5703,role_1
5717,role_0
5720,role_0
5737,role_0
5747,role_0
5783,role_0
5794,role_0
5809,role_0
5818,role_0
5841,role_0
5846,role_0
5855,role_0
5857,role_0
5872,role_0
5894,role_0
5896,role_1
5905,role_1
5906,role_0
5923,role_0
5937,role_0
5943,role_0
5944,role_0
5950,role_0
5952,role_1
5955,role_0
5995,role_0
6027,role_0
6028,role_0
6043,role_0
6047,role_0
6098,role_1
6106,role_0
6113,role_0
6117,role_0
6121,role_0
6135,role_0
6151,role_0
6165,role_1
6168,role_0
6171,role_0
6182,role_1
6206,role_1
6226,role_0
6233,role_0
6237,role_0
6246,role_0
6247,role_0
6271,role_0
6282,role_0
6284,role_0
6321,role_0
6325,role_0
6334,role_0
6345,role_0
6358,role_0
6359,role_0
6371,role_0
6407,role_0
6408,role_1
6410,role_0
6411,role_0
6412,role_0
6427,role_0
6446,role_0
6455,role_0
6471,role_0
6478,role_0
6481,role_0
6501,role_0
6503,role_0
6520,role_0
6525,role_0
6535,role_0
6543,role_0
6546,role_0
6552,role_0
6554,role_0
6568,role_0
6572,role_0
6574,role_0
6578,role_2
6587,role_0
6600,role_0
6609,role_0
6612,role_0
6644,role_0
6655,role_0
6663,role_0
6689,role_0
6699,role_1
6712,role_0
6720,role_0
6757,role_0
6760,role_0
6761,role_1
6792,role_0
6800,role_0
6810,role_0
6821,role_0
6822,role_0
6851,role_0
6888,role_0
6917,role_0
6941,role_0
6944,role_0
6970,role_0
6982,role_0
6983,role_0
6990,role_0
6999,role_0
7012,role_0
7013,role_0
7028,role_0
7035,role_0
7055,role_0
7072,role_0
7078,role_0
7097,role_0
7099,role_0
7109,role_0
7121,role_0
7132,role_0
7135,role_0
7141,role_0
7161,role_0
7167,role_0
7191,role_1
7198,role_0
7221,role_0
7223,role_0
7224,role_0
7260,role_0
7281,role_0
7285,role_1
7302,role_0
7309,role_1
7330,role_0
7334,role_0
7366,role_2
7383,role_0
7387,role_0
7389,role_0
7391,role_0
7392,role_0
7395,role_2
7396,role_1
7399,role_1
7405,role_0
7417,role_0
7433,role_0
7434,role_0
7444,role_1
