,total_degree,in_degree,internal_edges,out_degree,external_edges
103501,252,45,9315,207,0
103506,497,97,38800,400,0
103510,714,137,79049,577,0
103523,1078,198,174240,880,0
103526,1296,252,263088,1044,0
103574,415,75,25500,340,0
103586,819,152,101384,667,0
103592,365,74,21534,291,0
103609,497,97,38800,400,0
103622,1934,345,548205,1589,0
103623,385,71,22294,314,0
103633,1541,306,377910,1235,0
103645,1876,359,544603,1517,0
103652,323,55,14740,268,0
103661,1558,313,389685,1245,0
103682,767,144,89712,623,0
103692,1331,255,274380,1076,0
103704,1934,345,548205,1589,0
103705,443,85,30430,358,0
103706,1411,281,317530,1130,0
103708,516,103,42539,413,0
103726,61,9,468,52,0
103727,1541,306,377910,1235,0
103736,2102,402,683400,1700,0
103744,1657,315,422730,1342,0
103763,1025,201,165624,824,0
103792,443,85,30430,358,0
103807,793,158,100330,635,0
103811,1411,281,317530,1130,0
103813,971,184,144808,787,0
103821,89,15,1110,74,0
103823,1078,198,174240,880,0
103829,950,193,146101,757,0
103841,198,43,6665,155,0
103845,1829,353,521028,1476,0
103850,61,14,658,47,0
103877,1829,353,521028,1476,0
103900,1342,282,298920,1060,0
103916,227,44,8052,183,0
103918,778,163,100245,615,0
103925,405,82,26486,323,0
103929,1934,345,548205,1589,0
103942,865,167,116566,698,0
103954,379,65,20410,314,0
103965,1280,232,243136,1048,0
103978,337,74,19462,263,0
103987,1078,198,174240,880,0
103992,2102,402,683400,1700,0
104016,1204,251,239203,953,0
104023,1296,252,263088,1044,0
104027,236,50,9300,186,0
104033,551,102,45798,449,0
104050,495,87,35496,408,0
104059,1280,232,243136,1048,0
104061,198,43,6665,155,0
104067,1331,255,274380,1076,0
104075,1657,315,422730,1342,0
104091,1934,345,548205,1589,0
104094,1829,353,521028,1476,0
104110,620,121,60379,499,0
104146,1552,299,374647,1253,0
104156,497,97,38800,400,0
104164,148,24,2976,124,0
104176,385,71,22294,314,0
104179,1657,315,422730,1342,0
104208,1829,353,521028,1476,0
104211,865,167,116566,698,0
104260,104,16,1408,88,0
104288,1657,315,422730,1342,0
104300,1262,259,259777,1003,0
104320,106,19,1653,87,0
104338,1583,310,394630,1273,0
104365,401,77,24948,324,0
104375,110,18,1656,92,0
104377,976,180,143280,796,0
104379,1583,310,394630,1273,0
104397,1280,232,243136,1048,0
104410,122,25,2425,97,0
104420,122,22,2200,100,0
104470,1829,353,521028,1476,0
104472,20,5,75,15,0
104480,1657,315,422730,1342,0
104494,282,50,11600,232,0
104497,1558,313,389685,1245,0
104504,1331,255,274380,1076,0
104507,571,114,52098,457,0
104515,534,102,44064,432,0
104522,1558,313,389685,1245,0
104530,264,56,11648,208,0
104539,174,36,4968,138,0
104541,1411,281,317530,1130,0
104543,1296,252,263088,1044,0
104544,1342,282,298920,1060,0
104588,105,15,1350,90,0
104603,1657,315,422730,1342,0
104609,321,54,14418,267,0
104610,1342,282,298920,1060,0
104615,30,6,144,24,0
104633,1411,281,317530,1130,0
104634,767,144,89712,623,0
104635,1296,252,263088,1044,0
104638,950,193,146101,757,0
104657,1296,252,263088,1044,0
104659,1657,315,422730,1342,0
104660,535,94,41454,441,0
104666,571,114,52098,457,0
104690,1342,282,298920,1060,0
104701,321,54,14418,267,0
104702,463,83,31540,380,0
104709,821,143,96954,678,0
104715,1280,232,243136,1048,0
104718,1583,310,394630,1273,0
104734,821,171,111150,650,0
104738,497,97,38800,400,0
104777,1876,359,544603,1517,0
104798,539,101,44238,438,0
104831,1296,252,263088,1044,0
104833,1876,359,544603,1517,0
104834,124,28,2688,96,0
104844,107,19,1672,88,0
104894,1558,313,389685,1245,0
104901,137,25,2800,112,0
104903,1262,259,259777,1003,0
104907,155,34,4114,121,0
104917,700,128,73216,572,0
104922,1280,232,243136,1048,0
104942,2102,402,683400,1700,0
104947,1342,282,298920,1060,0
104967,1876,359,544603,1517,0
104969,405,82,26486,323,0
104986,714,137,79049,577,0
105013,778,163,100245,615,0
105015,641,131,66810,510,0
105023,1583,310,394630,1273,0
105026,1876,359,544603,1517,0
105030,360,66,19404,294,0
105035,1829,353,521028,1476,0
105041,1078,198,174240,880,0
105043,236,50,9300,186,0
105050,1331,255,274380,1076,0
105088,131,25,2650,106,0
105090,264,56,11648,208,0
105092,535,94,41454,441,0
105099,595,121,57354,474,0
105107,660,133,69928,527,0
105112,317,63,16002,254,0
105116,1078,198,174240,880,0
105120,595,121,57354,474,0
105122,186,35,5285,151,0
105130,641,131,66810,510,0
105133,1262,259,259777,1003,0
105135,660,133,69928,527,0
105141,44,10,340,34,0
105150,1411,281,317530,1130,0
105151,401,77,24948,324,0
105157,497,97,38800,400,0
105190,58,12,552,46,0
105191,659,132,69928,527,0
105205,68,14,756,54,0
105213,659,132,69928,527,0
105218,793,158,100330,635,0
105222,405,82,26486,323,0
105229,106,19,1653,87,0
105230,971,184,144808,787,0
105232,101,20,1620,81,0
105249,641,131,66810,510,0
105253,373,74,22126,299,0
105256,380,76,23104,304,0
105274,595,120,57000,475,0
105288,971,184,144808,787,0
105304,1558,313,389685,1245,0
105313,865,167,116566,698,0
105315,1280,232,243136,1048,0
105324,410,76,25384,334,0
105326,236,50,9300,186,0
105379,323,55,14740,268,0
105380,1657,315,422730,1342,0
105384,146,34,3808,112,0
105386,819,152,101384,667,0
105391,1583,310,394630,1273,0
105411,346,76,20520,270,0
105419,1204,251,239203,953,0
105422,572,130,57460,442,0
105427,1829,353,521028,1476,0
105429,767,144,89712,623,0
105435,620,121,60379,499,0
105436,107,18,1602,89,0
105449,1829,353,521028,1476,0
105460,714,137,79049,577,0
105499,200,40,6400,160,0
105512,821,171,111150,650,0
105531,976,180,143280,796,0
105543,89,15,1110,74,0
105546,410,76,25384,334,0
105558,380,76,23104,304,0
105568,415,75,25500,340,0
105569,1829,353,521028,1476,0
105573,61,11,550,50,0
105584,346,76,20520,270,0
105594,1296,252,263088,1044,0
105607,155,35,4200,120,0
105610,171,35,4760,136,0
105613,1558,313,389685,1245,0
105642,821,143,96954,678,0
105645,88,17,1207,71,0
105687,700,128,73216,572,0
105689,58,12,552,46,0
105691,1541,306,377910,1235,0
105702,821,143,96954,678,0
105713,1280,232,243136,1048,0
105732,207,41,6806,166,0
105760,1876,359,544603,1517,0
105767,175,29,4234,146,0
105774,122,22,2200,100,0
105784,516,103,42539,413,0
105833,1342,282,298920,1060,0
105836,932,168,128352,764,0
105844,2102,402,683400,1700,0
105865,1657,315,422730,1342,0
105884,1541,306,377910,1235,0
105895,104,16,1408,88,0
105917,1331,255,274380,1076,0
105918,1583,310,394630,1273,0
105920,362,69,20217,293,0
105921,552,113,49607,439,0
105927,1296,252,263088,1044,0
105932,2102,402,683400,1700,0
105944,836,151,103435,685,0
105946,321,54,14418,267,0
105949,193,39,6006,154,0
105956,155,34,4114,121,0
105983,2102,402,683400,1700,0
106015,660,133,69928,527,0
106016,395,72,23256,323,0
106040,1078,198,174240,880,0
106056,595,121,57354,474,0
106062,362,69,20217,293,0
106065,821,143,96954,678,0
106073,2102,402,683400,1700,0
106118,31,8,184,23,0
106120,620,121,60379,499,0
106130,1342,282,298920,1060,0
106134,160,29,3799,131,0
106136,714,137,79049,577,0
106146,1829,353,521028,1476,0
106155,26,6,120,20,0
106156,771,137,86858,634,0
106167,641,131,66810,510,0
106186,932,168,128352,764,0
106195,144,29,3335,115,0
106198,346,76,20520,270,0
106214,362,69,20217,293,0
106215,401,77,24948,324,0
106272,155,34,4114,121,0
106280,410,76,25384,334,0
106282,1657,315,422730,1342,0
106288,1262,259,259777,1003,0
106302,571,114,52098,457,0
106313,148,24,2976,124,0
106323,819,152,101384,667,0
106361,1025,201,165624,824,0
106377,373,74,22126,299,0
106392,1025,201,165624,824,0
106399,362,69,20217,293,0
106406,535,94,41454,441,0
106420,595,120,57000,475,0
106423,534,102,44064,432,0
106429,821,143,96954,678,0
106432,714,137,79049,577,0
106446,971,184,144808,787,0
106459,33,8,200,25,0
106462,1296,252,263088,1044,0
106472,236,50,9300,186,0
106475,379,65,20410,314,0
106478,401,77,24948,324,0
106489,1411,281,317530,1130,0
106494,119,22,2134,97,0
106502,836,151,103435,685,0
106503,1331,255,274380,1076,0
106513,463,83,31540,380,0
106518,534,102,44064,432,0
106521,1181,246,230010,935,0
106526,865,167,116566,698,0
106537,1829,353,521028,1476,0
106577,1280,232,243136,1048,0
106617,620,121,60379,499,0
106632,1876,359,544603,1517,0
106638,113,24,2136,89,0
106642,217,44,7612,173,0
106666,401,77,24948,324,0
106670,1876,359,544603,1517,0
106676,1558,313,389685,1245,0
106686,1876,359,544603,1517,0
106688,119,25,2350,94,0
106691,1296,252,263088,1044,0
106693,18,3,45,15,0
106698,571,114,52098,457,0
106712,362,69,20217,293,0
106718,346,76,20520,270,0
106721,122,25,2425,97,0
106736,50,8,336,42,0
106743,346,76,20520,270,0
106749,1934,345,548205,1589,0
106757,714,137,79049,577,0
106761,1552,299,374647,1253,0
106769,207,41,6806,166,0
106772,771,137,86858,634,0
106789,1541,306,377910,1235,0
106806,346,76,20520,270,0
106824,324,67,17219,257,0
106831,1552,299,374647,1253,0
106834,1541,306,377910,1235,0
106843,641,131,66810,510,0
106852,1876,359,544603,1517,0
106858,124,28,2688,96,0
106864,552,113,49607,439,0
106871,1280,232,243136,1048,0
106893,641,131,66810,510,0
106896,1280,232,243136,1048,0
106901,793,158,100330,635,0
106918,572,130,57460,442,0
106922,793,158,100330,635,0
106932,1657,315,422730,1342,0
106941,134,30,3120,104,0
106963,410,76,25384,334,0
107006,1296,252,263088,1044,0
107008,1078,198,174240,880,0
107018,1280,232,243136,1048,0
107047,362,69,20217,293,0
107080,366,70,20720,296,0
107110,1204,251,239203,953,0
107121,395,72,23256,323,0
107124,516,103,42539,413,0
107145,778,163,100245,615,0
107150,410,76,25384,334,0
107157,1181,246,230010,935,0
107161,950,193,146101,757,0
107175,122,20,2040,102,0
107182,1558,313,389685,1245,0
107193,373,74,22126,299,0
107194,2102,402,683400,1700,0
107205,1558,313,389685,1245,0
107213,1296,252,263088,1044,0
107214,1558,313,389685,1245,0
107228,160,29,3799,131,0
107230,77,18,1062,59,0
107233,2102,402,683400,1700,0
107234,1552,299,374647,1253,0
107235,1829,353,521028,1476,0
107242,771,137,86858,634,0
107243,1829,353,521028,1476,0
107254,1296,252,263088,1044,0
107266,836,151,103435,685,0
107281,767,144,89712,623,0
107285,1657,315,422730,1342,0
107290,660,133,69928,527,0
107298,1025,201,165624,824,0
107304,1280,232,243136,1048,0
107344,365,74,21534,291,0
107346,1280,232,243136,1048,0
107359,836,151,103435,685,0
107360,1204,251,239203,953,0
107361,1829,353,521028,1476,0
107362,315,56,14504,259,0
107373,1583,310,394630,1273,0
107385,950,193,146101,757,0
107451,497,97,38800,400,0
107452,1181,246,230010,935,0
107460,552,113,49607,439,0
107466,77,12,780,65,0
107508,1583,310,394630,1273,0
107514,1331,255,274380,1076,0
107523,950,193,146101,757,0
107527,1025,201,165624,824,0
107541,1331,255,274380,1076,0
107548,1078,198,174240,880,0
107551,767,144,89712,623,0
107565,516,103,42539,413,0
107566,1552,299,374647,1253,0
107568,1583,310,394630,1273,0
107583,186,35,5285,151,0
107600,1552,299,374647,1253,0
107604,12,2,20,10,0
107607,793,158,100330,635,0
107627,29,5,120,24,0
107653,620,121,60379,499,0
107658,1552,299,374647,1253,0
107672,463,83,31540,380,0
107685,1296,252,263088,1044,0
107723,1025,201,165624,824,0
107740,865,167,116566,698,0
107748,660,133,69928,527,0
107752,110,27,2241,83,0
107759,821,171,111150,650,0
107774,1262,259,259777,1003,0
107775,1078,198,174240,880,0
107776,595,121,57354,474,0
107785,1331,255,274380,1076,0
107805,1583,310,394630,1273,0
107808,1342,282,298920,1060,0
107813,1934,345,548205,1589,0
107816,497,97,38800,400,0
107817,1829,353,521028,1476,0
107818,1657,315,422730,1342,0
107819,950,193,146101,757,0
107820,105,15,1350,90,0
107821,379,65,20410,314,0
107846,1331,255,274380,1076,0
107851,155,27,3456,128,0
107858,659,132,69928,527,0
107862,44,9,315,35,0
107868,1181,246,230010,935,0
107871,771,137,86858,634,0
107878,821,171,111150,650,0
107899,200,40,6400,160,0
107917,50,8,336,42,0
107926,568,114,51756,454,0
107929,47,11,396,36,0
107930,21,4,68,17,0
107953,52,11,451,41,0
107976,156,34,4148,122,0
107995,971,184,144808,787,0
107999,620,121,60379,499,0
108011,443,85,30430,358,0
108019,379,65,20410,314,0
108031,415,75,25500,340,0
108043,971,184,144808,787,0
108070,1558,313,389685,1245,0
108077,15,6,54,9,0
108109,793,158,100330,635,0
108129,264,56,11648,208,0
108151,1657,315,422730,1342,0
108158,595,120,57000,475,0
108161,1657,315,422730,1342,0
108168,1331,255,274380,1076,0
108169,1558,313,389685,1245,0
108171,971,184,144808,787,0
108172,595,121,57354,474,0
108175,373,74,22126,299,0
108187,1342,282,298920,1060,0
108188,571,114,52098,457,0
108210,516,103,42539,413,0
108241,1934,345,548205,1589,0
108247,1025,201,165624,824,0
108249,700,128,73216,572,0
108258,385,71,22294,314,0
108264,131,21,2310,110,0
108271,767,144,89712,623,0
108276,14,3,33,11,0
108278,1411,281,317530,1130,0
108283,539,101,44238,438,0
108293,1262,259,259777,1003,0
108301,1541,306,377910,1235,0
108313,1558,313,389685,1245,0
108319,551,102,45798,449,0
108325,1280,232,243136,1048,0
108326,821,171,111150,650,0
108327,1829,353,521028,1476,0
108355,1657,315,422730,1342,0
108364,207,41,6806,166,0
108379,572,130,57460,442,0
108380,463,83,31540,380,0
108385,198,43,6665,155,0
108388,227,44,8052,183,0
108395,595,120,57000,475,0
108396,410,76,25384,334,0
108406,548,102,45492,446,0
108416,1657,315,422730,1342,0
108418,18,3,45,15,0
108424,1342,282,298920,1060,0
108425,1541,306,377910,1235,0
108435,61,11,550,50,0
108451,793,158,100330,635,0
108461,198,43,6665,155,0
108487,443,85,30430,358,0
108509,131,25,2650,106,0
108514,16,4,48,12,0
108517,595,120,57000,475,0
108537,144,29,3335,115,0
108540,1829,353,521028,1476,0
108545,193,39,6006,154,0
108547,950,193,146101,757,0
108569,198,43,6665,155,0
108587,273,58,12470,215,0
108596,950,193,146101,757,0
108602,1558,313,389685,1245,0
108606,77,17,1020,60,0
108616,778,163,100245,615,0
108621,836,151,103435,685,0
108625,551,102,45798,449,0
108626,551,102,45798,449,0
108628,1558,313,389685,1245,0
108636,516,103,42539,413,0
108637,1411,281,317530,1130,0
108654,548,102,45492,446,0
108659,793,158,100330,635,0
108662,1331,255,274380,1076,0
108670,1078,198,174240,880,0
108678,264,56,11648,208,0
108702,1552,299,374647,1253,0
108708,660,133,69928,527,0
108715,1829,353,521028,1476,0
108719,410,76,25384,334,0
108732,932,168,128352,764,0
108737,700,128,73216,572,0
108743,337,74,19462,263,0
108752,595,120,57000,475,0
108771,552,113,49607,439,0
108773,1583,310,394630,1273,0
108790,21,4,68,17,0
108803,105,16,1424,89,0
108815,1411,281,317530,1130,0
108819,362,69,20217,293,0
108825,443,85,30430,358,0
108851,146,34,3808,112,0
108864,315,56,14504,259,0
108878,1552,299,374647,1253,0
108888,819,152,101384,667,0
108924,1204,251,239203,953,0
108925,1296,252,263088,1044,0
108928,1657,315,422730,1342,0
108937,950,193,146101,757,0
108944,31,9,198,22,0
108950,1583,310,394630,1273,0
108968,1025,201,165624,824,0
108982,26,5,105,21,0
108998,1296,252,263088,1044,0
109014,1078,198,174240,880,0
109043,1078,198,174240,880,0
109053,8,1,7,7,0
109070,700,128,73216,572,0
109074,463,83,31540,380,0
109076,1558,313,389685,1245,0
109091,1829,353,521028,1476,0
109093,264,56,11648,208,0
109102,160,29,3799,131,0
109128,821,171,111150,650,0
109136,70,12,696,58,0
109145,1025,201,165624,824,0
109149,1262,259,259777,1003,0
109153,324,67,17219,257,0
109174,1331,255,274380,1076,0
109184,1657,315,422730,1342,0
109191,571,114,52098,457,0
109212,659,132,69928,527,0
109227,1829,353,521028,1476,0
109228,1934,345,548205,1589,0
109243,660,133,69928,527,0
109249,160,32,4096,128,0
109269,105,22,1826,83,0
109274,1583,310,394630,1273,0
109317,1558,313,389685,1245,0
109324,1280,232,243136,1048,0
109334,194,39,6045,155,0
109343,174,36,4968,138,0
109375,714,137,79049,577,0
109381,40,6,204,34,0
109388,568,114,51756,454,0
109394,75,19,1064,56,0
109408,36,10,260,26,0
109456,1657,315,422730,1342,0
109457,976,180,143280,796,0
109462,160,32,4096,128,0
109463,836,151,103435,685,0
109468,1262,259,259777,1003,0
109476,1262,259,259777,1003,0
109486,1541,306,377910,1235,0
109497,324,67,17219,257,0
109503,1552,299,374647,1253,0
109518,495,87,35496,408,0
109576,317,63,16002,254,0
109579,32,5,135,27,0
109586,1829,353,521028,1476,0
109591,1331,255,274380,1076,0
109602,85,18,1206,67,0
109609,379,65,20410,314,0
109620,552,113,49607,439,0
109624,1204,251,239203,953,0
109631,273,58,12470,215,0
109641,771,137,86858,634,0
109642,1296,252,263088,1044,0
109645,572,130,57460,442,0
109652,366,70,20720,296,0
109689,1181,246,230010,935,0
109695,1342,282,298920,1060,0
109698,1876,359,544603,1517,0
109704,595,120,57000,475,0
109713,551,102,45798,449,0
109716,171,35,4760,136,0
109719,1204,251,239203,953,0
109726,274,57,12369,217,0
109727,552,113,49607,439,0
109733,1541,306,377910,1235,0
109734,85,18,1206,67,0
109738,1583,310,394630,1273,0
109742,950,193,146101,757,0
109771,1342,282,298920,1060,0
109785,19,4,60,15,0
109789,366,70,20720,296,0
109802,548,102,45492,446,0
109808,1558,313,389685,1245,0
109812,1078,198,174240,880,0
109815,385,71,22294,314,0
109816,539,101,44238,438,0
109826,1876,359,544603,1517,0
109832,10,1,9,9,0
109833,379,65,20410,314,0
109840,819,152,101384,667,0
109841,821,143,96954,678,0
109848,31,10,210,21,0
109860,11,4,28,7,0
109890,1262,259,259777,1003,0
109910,21,3,54,18,0
109927,568,114,51756,454,0
109953,64,16,768,48,0
109958,1262,259,259777,1003,0
109962,620,121,60379,499,0
109964,337,74,19462,263,0
109982,819,152,101384,667,0
109999,1204,251,239203,953,0
110009,552,113,49607,439,0
110012,821,171,111150,650,0
110017,346,76,20520,270,0
110035,1342,282,298920,1060,0
110043,1331,255,274380,1076,0
110049,819,152,101384,667,0
110051,595,121,57354,474,0
110052,1558,313,389685,1245,0
110059,548,102,45492,446,0
110063,1876,359,544603,1517,0
110064,548,102,45492,446,0
110084,1541,306,377910,1235,0
110091,32,7,175,25,0
110093,1934,345,548205,1589,0
110097,366,70,20720,296,0
110106,1876,359,544603,1517,0
110113,1552,299,374647,1253,0
110136,535,94,41454,441,0
110145,379,65,20410,314,0
110147,971,184,144808,787,0
110150,1280,232,243136,1048,0
110165,1025,201,165624,824,0
110172,61,14,658,47,0
110174,33,5,140,28,0
110182,641,131,66810,510,0
110186,274,57,12369,217,0
110193,1934,345,548205,1589,0
110205,365,74,21534,291,0
110213,61,13,624,48,0
110217,1876,359,544603,1517,0
110220,1657,315,422730,1342,0
110222,1262,259,259777,1003,0
110227,52,11,451,41,0
110228,1657,315,422730,1342,0
110247,865,167,116566,698,0
110256,568,114,51756,454,0
110286,1558,313,389685,1245,0
110322,410,76,25384,334,0
110323,443,85,30430,358,0
110337,1657,315,422730,1342,0
110347,57,7,350,50,0
110366,395,72,23256,323,0
110383,47,11,396,36,0
110392,1558,313,389685,1245,0
110404,620,121,60379,499,0
110428,305,70,16450,235,0
110434,976,180,143280,796,0
110438,595,121,57354,474,0
110440,1829,353,521028,1476,0
110447,401,77,24948,324,0
110449,793,158,100330,635,0
110465,1342,282,298920,1060,0
110467,793,158,100330,635,0
110489,200,40,6400,160,0
110491,227,44,8052,183,0
110499,1657,315,422730,1342,0
110503,1078,198,174240,880,0
110507,1541,306,377910,1235,0
110512,360,66,19404,294,0
110513,1541,306,377910,1235,0
110521,113,20,1860,93,0
110522,836,151,103435,685,0
110525,620,121,60379,499,0
110527,101,20,1620,81,0
110568,1078,198,174240,880,0
110569,548,102,45492,446,0
110598,49,8,328,41,0
110600,415,75,25500,340,0
110614,1876,359,544603,1517,0
110616,836,151,103435,685,0
110650,207,41,6806,166,0
110684,1411,281,317530,1130,0
110697,379,65,20410,314,0
110700,2102,402,683400,1700,0
110707,497,97,38800,400,0
110721,366,70,20720,296,0
110723,171,35,4760,136,0
110737,1876,359,544603,1517,0
110745,1204,251,239203,953,0
110750,1078,198,174240,880,0
110754,821,171,111150,650,0
110761,1331,255,274380,1076,0
110765,551,102,45798,449,0
110768,379,65,20410,314,0
110775,971,184,144808,787,0
110778,1583,310,394630,1273,0
110783,572,130,57460,442,0
110798,379,65,20410,314,0
110813,1876,359,544603,1517,0
110814,548,102,45492,446,0
110825,1876,359,544603,1517,0
110829,155,35,4200,120,0
110835,1078,198,174240,880,0
110846,68,14,756,54,0
110852,836,151,103435,685,0
110853,1331,255,274380,1076,0
110857,1583,310,394630,1273,0
110870,1934,345,548205,1589,0
110872,1296,252,263088,1044,0
110876,415,75,25500,340,0
110884,971,184,144808,787,0
110886,767,144,89712,623,0
110889,1583,310,394630,1273,0
110894,443,85,30430,358,0
110899,1583,310,394630,1273,0
110918,68,12,672,56,0
110941,932,168,128352,764,0
110956,405,82,26486,323,0
110978,1296,252,263088,1044,0
111007,1657,315,422730,1342,0
111027,1552,299,374647,1253,0
111029,821,143,96954,678,0
111036,1541,306,377910,1235,0
111039,497,97,38800,400,0
111041,1262,259,259777,1003,0
111043,595,121,57354,474,0
111052,950,193,146101,757,0
111053,1876,359,544603,1517,0
111060,65,17,816,48,0
111076,264,56,11648,208,0
111081,1657,315,422730,1342,0
111083,155,27,3456,128,0
111089,193,39,6006,154,0
111099,571,114,52098,457,0
111148,44,9,315,35,0
111150,793,158,100330,635,0
111171,171,35,4760,136,0
111172,1280,232,243136,1048,0
111197,1657,315,422730,1342,0
111200,1934,345,548205,1589,0
111209,1025,201,165624,824,0
111213,595,120,57000,475,0
111222,1657,315,422730,1342,0
111234,1078,198,174240,880,0
111247,380,76,23104,304,0
111259,932,168,128352,764,0
111280,8,2,12,6,0
111282,595,121,57354,474,0
111328,778,163,100245,615,0
111331,362,69,20217,293,0
111335,1558,313,389685,1245,0
111341,185,36,5364,149,0
111345,821,171,111150,650,0
111354,315,56,14504,259,0
111356,1541,306,377910,1235,0
111363,68,14,756,54,0
111375,1657,315,422730,1342,0
111398,144,29,3335,115,0
111403,1876,359,544603,1517,0
111411,836,151,103435,685,0
111420,185,36,5364,149,0
111424,821,143,96954,678,0
111425,155,34,4114,121,0
111434,160,29,3799,131,0
111437,1342,282,298920,1060,0
111438,552,113,49607,439,0
111454,497,97,38800,400,0
111463,516,103,42539,413,0
111469,495,87,35496,408,0
111473,620,121,60379,499,0
111496,700,128,73216,572,0
111517,836,151,103435,685,0
111522,971,184,144808,787,0
111532,932,168,128352,764,0
111541,410,76,25384,334,0
111561,771,137,86858,634,0
111566,1934,345,548205,1589,0
111581,659,132,69928,527,0
111583,2102,402,683400,1700,0
111600,2102,402,683400,1700,0
111606,1262,259,259777,1003,0
111608,70,15,825,55,0
111624,836,151,103435,685,0
111627,1541,306,377910,1235,0
111642,1411,281,317530,1130,0
111647,865,167,116566,698,0
111662,1342,282,298920,1060,0
111664,534,102,44064,432,0
111668,62,16,736,46,0
111692,72,14,812,58,0
111705,572,130,57460,442,0
111711,1541,306,377910,1235,0
111712,227,44,8052,183,0
111723,821,143,96954,678,0
111727,373,74,22126,299,0
111747,171,35,4760,136,0
111766,714,137,79049,577,0
111771,365,74,21534,291,0
111774,1541,306,377910,1235,0
111778,282,50,11600,232,0
111787,2102,402,683400,1700,0
111798,2102,402,683400,1700,0
111813,37,5,160,32,0
111834,1262,259,259777,1003,0
111839,865,167,116566,698,0
111864,1342,282,298920,1060,0
111872,620,121,60379,499,0
111892,865,167,116566,698,0
111896,61,9,468,52,0
111925,101,20,1620,81,0
111928,660,133,69928,527,0
111929,75,19,1064,56,0
111939,26,5,105,21,0
111951,373,74,22126,299,0
111977,1181,246,230010,935,0
111987,1411,281,317530,1130,0
111997,110,18,1656,92,0
112013,767,144,89712,623,0
112026,1541,306,377910,1235,0
112042,1552,299,374647,1253,0
112063,1262,259,259777,1003,0
112069,1934,345,548205,1589,0
112084,1280,232,243136,1048,0
112087,1657,315,422730,1342,0
112105,1181,246,230010,935,0
112117,119,22,2134,97,0
112120,22,3,57,19,0
112121,700,128,73216,572,0
112125,571,114,52098,457,0
112140,274,57,12369,217,0
112143,495,87,35496,408,0
112155,1657,315,422730,1342,0
112172,771,137,86858,634,0
112195,1331,255,274380,1076,0
112202,119,25,2350,94,0
112210,767,144,89712,623,0
112216,660,133,69928,527,0
112224,1876,359,544603,1517,0
112227,950,193,146101,757,0
112232,52,11,451,41,0
112236,1280,232,243136,1048,0
112256,495,87,35496,408,0
112264,1280,232,243136,1048,0
112275,819,152,101384,667,0
112279,595,121,57354,474,0
112296,1262,259,259777,1003,0
112308,1876,359,544603,1517,0
112357,497,97,38800,400,0
112371,324,67,17219,257,0
112387,1204,251,239203,953,0
112390,160,32,4096,128,0
112397,700,128,73216,572,0
112408,105,22,1826,83,0
112416,217,44,7612,173,0
112419,463,83,31540,380,0
112434,539,101,44238,438,0
112451,1204,251,239203,953,0
112454,552,113,49607,439,0
112466,72,13,767,59,0
112476,88,17,1207,71,0
112485,1280,232,243136,1048,0
112486,1411,281,317530,1130,0
112495,771,137,86858,634,0
112520,552,113,49607,439,0
112522,443,85,30430,358,0
112534,321,54,14418,267,0
112536,1558,313,389685,1245,0
112560,1541,306,377910,1235,0
112563,1583,310,394630,1273,0
112564,976,180,143280,796,0
112582,379,65,20410,314,0
112593,1829,353,521028,1476,0
112596,1411,281,317530,1130,0
112612,1934,345,548205,1589,0
112618,1078,198,174240,880,0
112644,1411,281,317530,1130,0
112658,1657,315,422730,1342,0
112660,305,70,16450,235,0
112693,1181,246,230010,935,0
112717,700,128,73216,572,0
112734,700,128,73216,572,0
112741,61,7,378,54,0
112745,198,43,6665,155,0
112748,1331,255,274380,1076,0
112763,572,130,57460,442,0
112773,401,77,24948,324,0
112780,572,130,57460,442,0
112786,778,163,100245,615,0
112792,495,87,35496,408,0
112809,55,11,484,44,0
112827,1342,282,298920,1060,0
112831,1078,198,174240,880,0
112833,113,24,2136,89,0
112835,778,163,100245,615,0
112853,865,167,116566,698,0
112859,1262,259,259777,1003,0
112871,321,54,14418,267,0
112898,305,70,16450,235,0
112900,620,121,60379,499,0
112931,1411,281,317530,1130,0
112935,1262,259,259777,1003,0
112956,1296,252,263088,1044,0
112960,1657,315,422730,1342,0
112982,821,143,96954,678,0
112997,595,121,57354,474,0
113011,97,22,1650,75,0
113013,122,20,2040,102,0
113045,19,2,34,17,0
113047,516,103,42539,413,0
113057,366,70,20720,296,0
113068,105,15,1350,90,0
113084,1552,299,374647,1253,0
113100,198,43,6665,155,0
113107,1078,198,174240,880,0
113128,1876,359,544603,1517,0
113147,315,56,14504,259,0
113164,57,7,350,50,0
113168,778,163,100245,615,0
113171,821,171,111150,650,0
113199,131,25,2650,106,0
113201,620,121,60379,499,0
113202,971,184,144808,787,0
113213,1025,201,165624,824,0
113218,1552,299,374647,1253,0
113224,264,56,11648,208,0
113227,1558,313,389685,1245,0
113232,976,180,143280,796,0
113235,1342,282,298920,1060,0
113246,379,65,20410,314,0
113268,127,29,2842,98,0
113278,1204,251,239203,953,0
113280,1541,306,377910,1235,0
113284,595,121,57354,474,0
113298,821,171,111150,650,0
113341,950,193,146101,757,0
113352,1280,232,243136,1048,0
113357,778,163,100245,615,0
113366,821,171,111150,650,0
113376,194,39,6045,155,0
113382,337,74,19462,263,0
113390,380,76,23104,304,0
113402,198,43,6665,155,0
113421,463,83,31540,380,0
113422,2102,402,683400,1700,0
113424,1583,310,394630,1273,0
