,total_degree,in_degree,internal_edges,out_degree,external_edges
2585,495,87,35496,408,0
2587,365,74,21534,291,0
2601,767,144,89712,623,0
2609,620,121,60379,499,0
2622,315,56,14504,259,0
2625,571,114,52098,457,0
2628,932,168,128352,764,0
2665,22,3,57,19,0
2697,2102,402,683400,1700,0
2715,1078,198,174240,880,0
2735,1262,259,259777,1003,0
2742,405,82,26486,323,0
2747,548,102,45492,446,0
2758,1829,353,521028,1476,0
2760,145,23,2806,122,0
2766,778,163,100245,615,0
2774,793,158,100330,635,0
2799,950,193,146101,757,0
2806,1558,313,389685,1245,0
2807,572,130,57460,442,0
2828,1078,198,174240,880,0
2830,976,180,143280,796,0
2836,1583,310,394630,1273,0
2847,932,168,128352,764,0
2867,1558,313,389685,1245,0
2881,252,45,9315,207,0
2906,1558,313,389685,1245,0
2907,323,55,14740,268,0
2940,122,22,2200,100,0
2957,105,15,1350,90,0
2971,552,113,49607,439,0
2986,1558,313,389685,1245,0
2992,373,74,22126,299,0
2999,102,20,1640,82,0
3000,135,30,3150,105,0
3005,1025,201,165624,824,0
3006,385,71,22294,314,0
3025,660,133,69928,527,0
3026,5,1,4,4,0
3034,1181,246,230010,935,0
3058,1552,299,374647,1253,0
3062,1296,252,263088,1044,0
3067,1934,345,548205,1589,0
3108,463,83,31540,380,0
3130,976,180,143280,796,0
3133,64,16,768,48,0
3137,236,50,9300,186,0
3146,571,114,52098,457,0
3162,1331,255,274380,1076,0
3190,516,103,42539,413,0
3199,821,171,111150,650,0
3206,595,121,57354,474,0
3214,1541,306,377910,1235,0
3218,32,5,135,27,0
3226,305,70,16450,235,0
3232,620,121,60379,499,0
3233,1078,198,174240,880,0
3250,1829,353,521028,1476,0
3255,1342,282,298920,1060,0
3257,1541,306,377910,1235,0
3285,1583,310,394630,1273,0
3287,379,65,20410,314,0
3290,373,74,22126,299,0
3303,793,158,100330,635,0
3312,572,130,57460,442,0
3323,778,163,100245,615,0
3326,659,132,69928,527,0
3337,1280,232,243136,1048,0
3342,2102,402,683400,1700,0
3351,595,121,57354,474,0
3378,771,137,86858,634,0
3380,932,168,128352,764,0
3382,1657,315,422730,1342,0
3388,971,184,144808,787,0
3395,61,7,378,54,0
3413,1262,259,259777,1003,0
3425,1025,201,165624,824,0
3437,641,131,66810,510,0
3439,660,133,69928,527,0
3444,185,36,5364,149,0
3446,1552,299,374647,1253,0
3463,365,74,21534,291,0
3465,552,113,49607,439,0
3466,821,143,96954,678,0
3476,971,184,144808,787,0
3477,264,56,11648,208,0
3488,495,87,35496,408,0
3490,1280,232,243136,1048,0
3519,273,58,12470,215,0
3533,865,167,116566,698,0
3534,778,163,100245,615,0
3540,305,70,16450,235,0
3557,61,11,550,50,0
3559,1411,281,317530,1130,0
3569,595,120,57000,475,0
3581,131,21,2310,110,0
3589,1558,313,389685,1245,0
3593,27,5,110,22,0
3620,836,151,103435,685,0
3625,1078,198,174240,880,0
3631,932,168,128352,764,0
3632,410,76,25384,334,0
3679,1025,201,165624,824,0
3680,714,137,79049,577,0
3693,1204,251,239203,953,0
3710,71,15,840,56,0
3726,1296,252,263088,1044,0
3727,1541,306,377910,1235,0
3751,771,137,86858,634,0
3756,1204,251,239203,953,0
3761,236,50,9300,186,0
3777,821,171,111150,650,0
3781,410,76,25384,334,0
3788,315,56,14504,259,0
3790,1411,281,317530,1130,0
3817,767,144,89712,623,0
3818,700,128,73216,572,0
3824,1331,255,274380,1076,0
3829,1558,313,389685,1245,0
3830,134,30,3120,104,0
3854,971,184,144808,787,0
3861,305,70,16450,235,0
3885,401,77,24948,324,0
3896,274,57,12369,217,0
3899,122,20,2040,102,0
3900,1078,198,174240,880,0
3912,193,39,6006,154,0
3920,1296,252,263088,1044,0
3955,971,184,144808,787,0
3969,110,27,2241,83,0
3992,516,103,42539,413,0
3994,1558,313,389685,1245,0
3996,836,151,103435,685,0
4000,771,137,86858,634,0
4001,497,97,38800,400,0
4011,976,180,143280,796,0
4012,971,184,144808,787,0
4022,595,121,57354,474,0
4029,1181,246,230010,935,0
4038,217,44,7612,173,0
4039,1204,251,239203,953,0
4079,323,55,14740,268,0
4097,134,30,3120,104,0
4098,156,34,4148,122,0
4100,778,163,100245,615,0
4102,1552,299,374647,1253,0
4118,145,23,2806,122,0
4145,37,5,160,32,0
4159,1262,259,259777,1003,0
4177,1558,313,389685,1245,0
4182,200,40,6400,160,0
4192,1541,306,377910,1235,0
4210,1876,359,544603,1517,0
4211,102,20,1640,82,0
4224,714,137,79049,577,0
4225,207,41,6806,166,0
4232,1025,201,165624,824,0
4262,1296,252,263088,1044,0
4295,337,74,19462,263,0
4311,127,29,2842,98,0
4330,534,102,44064,432,0
4332,1078,198,174240,880,0
4336,185,36,5364,149,0
4340,171,35,4760,136,0
4349,1296,252,263088,1044,0
4350,1541,306,377910,1235,0
4351,551,102,45798,449,0
4361,1657,315,422730,1342,0
4376,1829,353,521028,1476,0
4383,1876,359,544603,1517,0
4405,185,36,5364,149,0
4419,34,7,189,27,0
4420,1078,198,174240,880,0
4431,137,25,2800,112,0
4443,572,130,57460,442,0
4460,410,76,25384,334,0
4463,32,5,135,27,0
4478,1583,310,394630,1273,0
4482,976,180,143280,796,0
4498,793,158,100330,635,0
4502,395,72,23256,323,0
4505,443,85,30430,358,0
4514,976,180,143280,796,0
4533,405,82,26486,323,0
4570,1558,313,389685,1245,0
4574,174,36,4968,138,0
4603,778,163,100245,615,0
4604,767,144,89712,623,0
4610,1025,201,165624,824,0
4620,641,131,66810,510,0
4647,1829,353,521028,1476,0
4650,415,75,25500,340,0
4666,595,120,57000,475,0
4684,1204,251,239203,953,0
4704,778,163,100245,615,0
4707,21,6,90,15,0
4730,700,128,73216,572,0
4732,337,74,19462,263,0
4765,971,184,144808,787,0
4770,323,55,14740,268,0
4804,1934,345,548205,1589,0
4823,976,180,143280,796,0
4853,1829,353,521028,1476,0
4860,1262,259,259777,1003,0
4883,572,130,57460,442,0
4885,1296,252,263088,1044,0
4889,821,143,96954,678,0
4892,77,18,1062,59,0
4916,1025,201,165624,824,0
4917,1876,359,544603,1517,0
4977,539,101,44238,438,0
4983,1876,359,544603,1517,0
5029,1541,306,377910,1235,0
5047,373,74,22126,299,0
5053,305,70,16450,235,0
5058,516,103,42539,413,0
5063,535,94,41454,441,0
5080,950,193,146101,757,0
5103,659,132,69928,527,0
5129,1181,246,230010,935,0
5136,551,102,45798,449,0
5139,28,7,147,21,0
5140,551,102,45798,449,0
5150,1331,255,274380,1076,0
5155,1411,281,317530,1130,0
5160,1657,315,422730,1342,0
5161,1558,313,389685,1245,0
5175,568,114,51756,454,0
5178,155,27,3456,128,0
5197,8,1,7,7,0
5206,1296,252,263088,1044,0
5209,932,168,128352,764,0
5210,155,27,3456,128,0
5224,1411,281,317530,1130,0
5227,323,55,14740,268,0
5244,1262,259,259777,1003,0
5267,127,29,2842,98,0
5271,836,151,103435,685,0
5276,2102,402,683400,1700,0
5281,1934,345,548205,1589,0
5309,1552,299,374647,1253,0
5314,360,66,19404,294,0
5329,317,63,16002,254,0
5340,950,193,146101,757,0
5341,836,151,103435,685,0
5344,572,130,57460,442,0
5351,401,77,24948,324,0
5355,595,120,57000,475,0
5358,1078,198,174240,880,0
5364,1552,299,374647,1253,0
5370,68,15,795,53,0
5375,821,171,111150,650,0
5390,1583,310,394630,1273,0
5416,1280,232,243136,1048,0
5425,1934,345,548205,1589,0
5428,72,17,935,55,0
5440,1342,282,298920,1060,0
5441,821,143,96954,678,0
5467,1411,281,317530,1130,0
5469,1262,259,259777,1003,0
5487,321,54,14418,267,0
5510,1296,252,263088,1044,0
5518,971,184,144808,787,0
5527,1583,310,394630,1273,0
5531,1331,255,274380,1076,0
5541,463,83,31540,380,0
5560,595,120,57000,475,0
5563,836,151,103435,685,0
5596,2102,402,683400,1700,0
5603,1181,246,230010,935,0
5605,1583,310,394630,1273,0
5627,1025,201,165624,824,0
5634,1078,198,174240,880,0
5644,144,29,3335,115,0
5648,1078,198,174240,880,0
5649,185,36,5364,149,0
5653,1280,232,243136,1048,0
5655,77,19,1102,58,0
5656,1541,306,377910,1235,0
5673,193,39,6006,154,0
5700,568,114,51756,454,0
5701,1181,246,230010,935,0
5703,1934,345,548205,1589,0
5717,88,17,1207,71,0
5720,1078,198,174240,880,0
5737,659,132,69928,527,0
5747,552,113,49607,439,0
5783,207,41,6806,166,0
5794,495,87,35496,408,0
5809,767,144,89712,623,0
5818,193,39,6006,154,0
5841,1280,232,243136,1048,0
5846,282,50,11600,232,0
5855,1204,251,239203,953,0
5857,105,22,1826,83,0
5872,778,163,100245,615,0
5894,198,43,6665,155,0
5896,1657,315,422730,1342,0
5905,1657,315,422730,1342,0
5906,380,76,23104,304,0
5923,1342,282,298920,1060,0
5937,1078,198,174240,880,0
5943,865,167,116566,698,0
5944,65,17,816,48,0
5950,767,144,89712,623,0
5952,1934,345,548205,1589,0
5955,1541,306,377910,1235,0
5995,932,168,128352,764,0
6027,72,17,935,55,0
6028,443,85,30430,358,0
6043,819,152,101384,667,0
6047,865,167,116566,698,0
6098,1934,345,548205,1589,0
6106,1331,255,274380,1076,0
